step,train,val,lr,elapsed_sec
3380,2.252299,2.052450,2.99955051e-04,459.2
3390,2.037430,2.046282,2.99954397e-04,460.4
3400,2.014260,2.104540,2.99953739e-04,461.6
3410,1.991954,2.141560,2.99953076e-04,462.8
3420,1.947681,2.089850,2.99952408e-04,464.0
3430,1.917423,2.152816,2.99951735e-04,465.1
3440,2.035841,2.039963,2.99951058e-04,466.3
3450,2.037824,2.146577,2.99950376e-04,467.5
3460,2.033293,1.973381,2.99949689e-04,468.6
3470,1.982317,2.074222,2.99948997e-04,469.8
3480,2.080590,2.101002,2.99948301e-04,470.9
3490,1.984628,2.093037,2.99947600e-04,472.1
3500,2.035262,2.056379,2.99946895e-04,473.2
3510,2.039432,2.131239,2.99946184e-04,475.4
3520,2.128698,2.041263,2.99945469e-04,477.1
3530,1.997224,2.005232,2.99944749e-04,478.6
3540,2.034035,2.019772,2.99944025e-04,480.0
3550,1.948966,2.028366,2.99943295e-04,481.3
3560,2.081064,2.010353,2.99942561e-04,482.6
3570,2.102644,1.903098,2.99941823e-04,483.9
3580,2.049880,1.982216,2.99941079e-04,485.1
3590,2.036275,1.981707,2.99940331e-04,486.4
3600,2.007444,1.886686,2.99939578e-04,487.6
3610,2.092595,1.980642,2.99938821e-04,488.8
3620,2.100693,1.922573,2.99938058e-04,490.0
3630,1.938742,1.986890,2.99937291e-04,491.2
3640,2.031950,2.041423,2.99936520e-04,492.4
3650,2.119800,1.970883,2.99935743e-04,493.6
3660,2.114142,2.018195,2.99934962e-04,494.7
3670,2.044159,2.225383,2.99934176e-04,495.9
3680,2.076021,2.122882,2.99933386e-04,497.1
3690,2.030143,2.001841,2.99932590e-04,498.4
3700,1.979553,1.808947,2.99931790e-04,499.6
3710,1.867036,2.017928,2.99930986e-04,500.9
3720,2.056609,1.960731,2.99930176e-04,502.3
3730,2.025936,1.997795,2.99929362e-04,503.6
3740,2.004490,2.040090,2.99928543e-04,505.0
3750,2.081387,2.129554,2.99927719e-04,506.3
3760,1.911388,2.129777,2.99926891e-04,507.6
3770,2.008246,1.950896,2.99926058e-04,509.0
3780,1.937195,1.913726,2.99925220e-04,510.3
3790,2.075315,2.009659,2.99924378e-04,511.7
3800,1.916288,2.015859,2.99923530e-04,513.0
3810,2.074827,2.144994,2.99922678e-04,514.4
3820,1.849722,1.930266,2.99921822e-04,515.7
3830,1.946474,1.997327,2.99920960e-04,517.0
3840,2.179161,2.101893,2.99920094e-04,518.4
3850,2.103528,2.050274,2.99919223e-04,519.7
3860,2.064520,2.048208,2.99918348e-04,521.0
3870,1.996099,1.985006,2.99917468e-04,522.2
3880,2.002051,1.944325,2.99916583e-04,523.5
3890,1.883493,1.739259,2.99915693e-04,524.8
3900,1.975293,2.001189,2.99914799e-04,526.1
3910,2.027689,1.977228,2.99913900e-04,527.4
3920,1.984407,1.995896,2.99912996e-04,528.7
3930,2.092401,1.989547,2.99912087e-04,530.1
3940,1.961184,2.007591,2.99911174e-04,531.4
3950,1.897306,2.060064,2.99910256e-04,532.7
3960,2.059682,2.075757,2.99909333e-04,534.0
3970,1.980885,1.828399,2.99908406e-04,535.3
3980,2.023004,1.911495,2.99907474e-04,536.7
3990,2.030157,1.940010,2.99906537e-04,538.0
4000,1.977803,1.899901,2.99905595e-04,539.4
4010,1.929822,2.049435,2.99904649e-04,541.3
4020,1.904337,2.143676,2.99903698e-04,542.9
4030,2.012192,2.157138,2.99902742e-04,544.5
4040,1.812739,2.109930,2.99901782e-04,546.0
4050,1.932608,2.203123,2.99900816e-04,547.5
4060,1.955608,2.005414,2.99899847e-04,548.9
4070,1.864000,1.917004,2.99898872e-04,550.3
4080,2.106266,1.853672,2.99897893e-04,551.7
4090,1.949919,1.947940,2.99896909e-04,553.1
4100,1.983417,1.904076,2.99895920e-04,554.4
4110,1.945370,1.961024,2.99894926e-04,555.7
4120,1.987426,2.021538,2.99893928e-04,557.0
4130,1.828114,2.006779,2.99892925e-04,558.3
4140,1.943875,1.968286,2.99891918e-04,559.6
4150,1.992589,2.020540,2.99890905e-04,560.9
4160,1.993892,2.023405,2.99889888e-04,562.2
4170,1.997576,1.797077,2.99888867e-04,563.5
4180,1.838608,1.994891,2.99887840e-04,564.8
4190,1.894296,1.976003,2.99886809e-04,566.1
4200,1.918067,2.099032,2.99885773e-04,567.5
4210,1.863581,1.960092,2.99884732e-04,568.8
4220,1.907969,1.992912,2.99883687e-04,570.1
4230,1.835660,1.980378,2.99882637e-04,571.4
4240,2.061250,1.971233,2.99881582e-04,572.6
4250,2.022628,1.968067,2.99880523e-04,573.9
4260,1.932321,2.010309,2.99879458e-04,575.2
4270,1.978559,1.981469,2.99878389e-04,576.6
4280,2.035731,1.979869,2.99877316e-04,577.9
4290,1.892298,1.902965,2.99876237e-04,579.2
4300,1.915952,1.962227,2.99875154e-04,580.6
4310,1.933983,2.023443,2.99874066e-04,582.0
4320,1.860669,1.843076,2.99872974e-04,583.3
4330,1.862199,1.846465,2.99871877e-04,584.7
4340,1.842333,2.139885,2.99870775e-04,586.1
4350,1.985758,1.973543,2.99869668e-04,587.5
4360,1.878996,1.905626,2.99868557e-04,588.9
4370,1.851734,1.888325,2.99867441e-04,590.3
4380,1.860053,1.940357,2.99866320e-04,591.7
4390,2.022706,1.988705,2.99865194e-04,593.1
4400,1.964779,1.974442,2.99864064e-04,594.5
4410,1.751002,1.887580,2.99862929e-04,595.9
4420,1.933473,2.094098,2.99861789e-04,597.4
4430,1.981266,1.984628,2.99860645e-04,598.8
4440,1.881944,1.845257,2.99859496e-04,600.3
4450,1.929170,1.938971,2.99858342e-04,601.8
4460,1.950421,1.959165,2.99857183e-04,603.3
4470,1.974811,1.803823,2.99856020e-04,604.7
4480,1.948991,1.859435,2.99854852e-04,606.2
4490,1.950460,1.935165,2.99853679e-04,607.6
4500,1.952847,1.958496,2.99852502e-04,609.1
4510,1.968855,1.944460,2.99851320e-04,611.1
4520,1.891536,1.867751,2.99850133e-04,612.7
4530,2.075368,1.911456,2.99848942e-04,614.3
4540,1.837308,1.918710,2.99847745e-04,615.9
4550,1.875746,2.037473,2.99846544e-04,617.5
4560,1.979120,1.892578,2.99845339e-04,619.0
4570,2.074401,1.998713,2.99844128e-04,620.5
4580,1.886462,1.896570,2.99842913e-04,622.1
4590,2.142585,2.023647,2.99841693e-04,623.6
4600,1.996077,1.840711,2.99840469e-04,625.0
4610,2.000838,1.821278,2.99839239e-04,626.5
4620,1.868406,1.884762,2.99838005e-04,628.0
4630,1.914559,2.004109,2.99836767e-04,629.4
4640,1.947578,1.874921,2.99835523e-04,630.9
4650,1.748715,1.987480,2.99834275e-04,632.4
